20.25,58.25
62.71,108.55
118.89,242.34
20.90,34.07
27.44,24.93
7.19,-2.41
123.47,244.67
52.91,108.94
96.68,182.69
88.19,169.36
72.51,151.40
129.35,259.32
75.78,169.55
18.94,52.06
56.18,92.75
69.25,132.29
16.33,43.41
63.37,118.92
21.56,58.63
33.97,57.00
117.59,211.48
58.14,127.33
10.45,16.91
6.53,16.45
105.18,231.25
66.63,137.05
75.13,150.66
30.70,75.22
60.75,132.42
62.06,128.66
7.84,12.25
9.15,25.31
76.43,160.06
94.07,193.55
19.60,66.83
5.23,-22.16
71.86,114.61
82.31,148.87
37.89,68.17
64.02,128.08
23.52,40.46
68.59,141.90
109.75,221.24
40.50,65.98
114.97,219.88
73.17,119.01
90.15,190.86
99.30,205.37
61.41,117.23
35.28,80.80
24.17,58.68
112.36,249.90
80.35,186.94
113.02,220.88
57.49,98.57
120.20,238.50
37.24,79.85
50.30,68.27
100.60,194.39
106.48,206.92
31.36,52.45
103.87,208.88
87.54,134.41
65.33,114.64
99.95,213.25
86.88,170.44
11.11,30.96
122.81,242.87
50.95,115.24
41.81,94.47
43.77,95.89
52.26,133.50
67.29,122.33
125.43,259.22
45.73,81.17
98.64,196.62
3.92,24.75
0.65,16.37
114.32,241.93
89.50,211.93
95.38,197.31
88.84,149.94
110.40,230.30
49.65,84.92
46.38,78.40
128.04,236.49
82.96,172.38
42.46,87.08
74.47,149.06
71.21,150.00
121.51,234.84
12.41,27.38
81.66,181.88
84.92,159.41
11.76,1.69
79.70,157.60
14.37,26.11
41.16,92.86
26.13,25.79
43.12,88.66
13.07,43.36
3.27,2.42
69.90,120.73
1.96,20.07
93.42,181.63
18.29,21.15
126.73,228.61
130.00,287.84
84.27,161.62
54.22,100.18
101.26,183.50
73.82,148.98
29.40,37.51
67.94,107.33
111.06,225.16
30.05,58.52
2.61,18.29
26.78,45.16
70.55,142.54
15.03,29.57
78.39,142.11
5.88,29.06
127.39,241.05
77.09,149.11
109.10,216.95
90.80,193.40
28.09,69.53
122.16,262.83
38.54,78.21
28.74,54.96
56.83,128.09
13.72,42.15
116.28,222.37
104.52,195.52
1.31,4.68
120.85,258.38
34.62,75.93
96.03,192.23
86.23,173.24
79.05,155.43
39.20,52.00
81.01,148.11
102.56,204.10
77.74,154.24
55.53,98.39
17.64,18.46
59.45,146.69
92.11,188.77
32.66,69.45
16.98,28.78
45.08,79.74
25.48,54.77
92.76,188.64
97.99,211.53
53.57,93.49
126.08,261.28
91.46,183.17
44.42,89.64
22.86,52.93
111.71,202.61
54.87,95.95
48.99,98.63
39.85,86.51
85.58,187.34
4.57,-4.10
124.12,241.62
64.67,135.35
47.04,83.75
60.10,129.13
48.34,109.69
51.61,109.71
47.69,90.61
15.68,21.30
124.77,236.61
107.14,228.35
94.72,202.19
24.82,28.41
58.79,121.31
35.93,70.09
83.62,172.11
118.24,223.37
107.79,222.54
9.80,16.86
101.91,208.28
116.93,261.35
105.83,213.55
97.34,202.50
113.67,208.18
32.01,37.29
33.32,37.38
0.00,3.41
128.69,258.98
108.44,225.00
36.58,85.53
103.22,211.87
115.63,227.26
65.98,133.76
119.55,248.61
